bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
4,"major","---","Windows","a@gmail.com","NEW","---","When I try to add without login it is allow to me add cart"
53,"enhancement","---","Windows","a@gmail.com","NEW","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
63,"major","---","Windows","a@gmail.com","NEW","---","When I try to add without login it is allow to add cart and delete  cart"
3,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to me add cart"
5,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When i show all items are format but second row have only one item  so it item near  lost of empty space ,it is  make home page ugly"
6,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to me add cart and delete cart"
7,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to me add review"
8,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to  add cart and delete  cart"
9,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
10,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
11,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
12,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
13,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
14,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
15,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
16,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
17,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
18,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
19,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
20,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
21,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
22,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
23,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
24,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
25,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
26,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
27,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
28,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
29,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
30,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
31,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
32,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
33,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
34,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
35,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
36,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
37,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
38,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
39,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to  add cart and delete  cart"
40,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
41,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
42,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
43,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
44,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
45,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
46,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","When I click shopping option applied when items are  less, so why show per page filter option"
47,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to add without login it is allow to add cart and delete  cart"
48,"major","---","Windows","a@gmail.com","ASSIGNED","---","When I try to write review without login it is allow to write it"
49,"enhancement","---","Windows","a@gmail.com","ASSIGNED","---","Numbers of items are not available,so why give option to listing like 15 ,24 ,36 items"
